school_id,school_name,district_code,district_name,block_name,enrollment_total,lat,lng,stu_tea_ratio,toilet_boys,toilet_girls,has_electricity,num_classrooms,nearest_town_km,enrollment_boys,enrollment_girls,enrollment_3yr_ago,district_aser_pct,medium,category,management,cluster_name,Vac_Math,Vac_Sci,Vac_Eng,Vac_Mar,Vac_Hin,Vac_SST
27028166022,ZP School BhorPura 0,NDB01,Nandurbar,Navapur,100,21.3348,74.0816,43,true,true,true,9,29,50,50,88,45.5,Marathi,Primary,Government,Navapur Center,0,0,1,0,0,0
27026169242,ZP School MaliGaon 1,NDB01,Nandurbar,Akrani,242,21.589,74.3551,32,false,true,false,9,39,121,121,288,45.5,Marathi,Primary,Government,Akrani Center,0,0,0,0,0,0
27022033316,ZP School AmbaWadi 2,NDB01,Nandurbar,Shahada Rural,287,21.5293,73.9473,42,true,true,false,5,13,143,143,270,45.5,Marathi,Primary,Government,Shahada Rural Center,0,0,0,0,0,0
27021015761,ZP School MaliPura 3,NDB01,Nandurbar,Navapur,386,21.6782,74.6576,48,true,true,true,9,4,193,193,410,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27028959932,ZP School KoliKhed 4,NDB01,Nandurbar,Taloda Block,337,21.449,74.695,21,true,false,true,10,4,168,168,348,45.5,Marathi,Primary,Government,Taloda Block Center,1,0,0,0,0,0
27028487044,ZP School MaliWadi 5,NDB01,Nandurbar,Navapur,164,21.5959,73.7153,56,true,false,true,3,9,82,82,193,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,1
27022713424,ZP School KoliWadi 6,NDB01,Nandurbar,Shahada Rural,231,21.6832,73.768,26,false,false,false,6,30,115,115,255,45.5,Marathi,Primary,Government,Shahada Rural Center,0,1,0,0,0,0
27028388424,ZP School PimpalKhed 7,NDB01,Nandurbar,Akkalkuwa,389,21.2671,74.6715,53,false,true,false,6,6,194,194,413,45.5,Marathi,Primary,Government,Akkalkuwa Center,0,0,0,0,0,0
27026006465,ZP School PimpalNagar 8,NDB01,Nandurbar,Navapur,381,20.885,74.1402,22,true,true,false,3,37,190,190,396,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27028272442,ZP School PimpalPura 9,NDB01,Nandurbar,Taloda Block,396,21.181,74.3819,49,false,false,true,4,5,198,198,354,45.5,Marathi,Primary,Government,Taloda Block Center,0,0,0,0,0,0
27029373837,ZP School MaliPura 10,NDB01,Nandurbar,Akkalkuwa,58,21.2931,74.1739,21,true,true,true,9,30,29,29,63,45.5,Marathi,Primary,Government,Akkalkuwa Center,0,1,0,0,0,0
27028318690,ZP School WaghGaon 11,NDB01,Nandurbar,Shahada Rural,199,20.9208,73.985,48,false,true,true,6,31,99,99,181,45.5,Marathi,Primary,Government,Shahada Rural Center,0,0,0,0,1,0
27027231569,ZP School DhanNagar 12,NDB01,Nandurbar,Navapur,281,21.2567,74.0919,25,true,true,false,9,32,140,140,266,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27024995116,ZP School KoliKhed 13,NDB01,Nandurbar,Shahada Rural,194,21.406,74.6719,33,false,false,false,10,30,97,97,189,45.5,Marathi,Primary,Government,Shahada Rural Center,0,0,0,0,0,0
27026319400,ZP School AmbaPura 14,NDB01,Nandurbar,Taloda Block,388,21.0897,74.1045,23,false,false,true,2,15,194,194,425,45.5,Marathi,Primary,Government,Taloda Block Center,0,0,0,0,0,0
27023570704,ZP School DhanNagar 15,NDB01,Nandurbar,Navapur,319,21.3237,74.4737,28,true,false,false,6,20,159,159,360,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27028722020,ZP School MaliPura 16,NDB01,Nandurbar,Taloda Block,241,21.694,74.2484,28,false,true,true,10,11,120,120,280,45.5,Marathi,Primary,Government,Taloda Block Center,0,0,0,0,0,0
27025749609,ZP School DhanGaon 17,NDB01,Nandurbar,Shahada Rural,137,21.6629,74.3265,34,false,false,false,8,29,68,68,131,45.5,Marathi,Primary,Government,Shahada Rural Center,1,0,1,0,1,0
27027469826,ZP School PimpalWadi 18,NDB01,Nandurbar,Nandurbar Urban,240,20.9181,74.0241,37,true,false,false,4,16,120,120,282,45.5,Marathi,Primary,Government,Nandurbar Urban Center,0,0,0,0,0,0
27026197930,ZP School AmbaPura 19,NDB01,Nandurbar,Akrani,131,21.348,74.6461,34,true,false,true,3,16,65,65,127,45.5,Marathi,Primary,Government,Akrani Center,0,1,0,0,0,0
27022740884,ZP School AmbaGaon 20,NDB01,Nandurbar,Akkalkuwa,400,20.837,73.9737,23,true,false,false,4,23,200,200,428,45.5,Marathi,Primary,Government,Akkalkuwa Center,1,0,0,0,1,0
27027255591,ZP School KoliGaon 21,NDB01,Nandurbar,Navapur,347,21.2155,74.5836,32,false,true,false,9,14,173,173,389,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27023992445,ZP School AmbaWadi 22,NDB01,Nandurbar,Shahada Rural,394,21.0825,74.1737,32,true,true,true,4,2,197,197,376,45.5,Marathi,Primary,Government,Shahada Rural Center,1,0,0,0,0,0
27029592814,ZP School KoliWadi 23,NDB01,Nandurbar,Taloda Block,256,20.9492,73.7634,41,false,false,true,2,13,128,128,231,45.5,Marathi,Primary,Government,Taloda Block Center,0,0,0,0,0,0
27022458204,ZP School BhorGaon 24,NDB01,Nandurbar,Navapur,384,21.6548,73.9354,42,false,true,true,4,18,192,192,419,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27026150812,ZP School WaghNagar 25,NDB01,Nandurbar,Akkalkuwa,205,20.8809,74.6619,41,true,false,true,5,23,102,102,241,45.5,Marathi,Primary,Government,Akkalkuwa Center,0,0,0,0,0,0
27021237778,ZP School KoliNagar 26,NDB01,Nandurbar,Navapur,392,21.2942,74.6668,25,true,false,true,8,39,196,196,440,45.5,Marathi,Primary,Government,Navapur Center,1,0,0,0,0,1
27028293255,ZP School KoliNagar 27,NDB01,Nandurbar,Taloda Block,151,21.2019,73.9024,20,false,true,false,8,37,75,75,155,45.5,Marathi,Primary,Government,Taloda Block Center,0,0,0,0,1,0
27027812913,ZP School MaliGaon 28,NDB01,Nandurbar,Navapur,256,21.0132,74.6712,48,false,false,false,9,39,128,128,272,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,1,0
27027836529,ZP School AmbaNagar 29,NDB01,Nandurbar,Taloda Block,387,20.9189,73.7996,45,false,true,false,7,7,193,193,349,45.5,Marathi,Primary,Government,Taloda Block Center,0,0,1,0,0,1
27021205648,ZP School MaliKhed 30,NDB01,Nandurbar,Akkalkuwa,63,21.5593,73.818,59,true,false,false,8,19,31,31,51,45.5,Marathi,Primary,Government,Akkalkuwa Center,0,0,0,0,0,0
27029858666,ZP School MaliNagar 31,NDB01,Nandurbar,Shahada Rural,326,21.6661,74.5797,32,false,false,false,5,35,163,163,319,45.5,Marathi,Primary,Government,Shahada Rural Center,0,0,0,0,0,0
27023208779,ZP School DhanKhed 32,NDB01,Nandurbar,Nandurbar Urban,149,21.4272,74.6308,35,true,true,false,6,22,74,74,163,45.5,Marathi,Primary,Government,Nandurbar Urban Center,0,0,0,0,0,0
27023251325,ZP School MaliGaon 33,NDB01,Nandurbar,Shahada Rural,272,21.058,74.1678,58,true,false,false,3,21,136,136,231,45.5,Marathi,Primary,Government,Shahada Rural Center,1,0,1,0,0,0
27024055715,ZP School WaghGaon 34,NDB01,Nandurbar,Nandurbar Urban,57,20.8339,74.2295,59,true,false,false,2,24,28,28,61,45.5,Marathi,Primary,Government,Nandurbar Urban Center,0,0,0,0,0,1
27024071258,ZP School KoliWadi 35,NDB01,Nandurbar,Shahada Rural,257,20.9808,73.7089,46,true,false,false,9,7,128,128,232,45.5,Marathi,Primary,Government,Shahada Rural Center,0,1,0,1,0,0
27025680699,ZP School PimpalNagar 36,NDB01,Nandurbar,Akrani,274,21.3054,74.6038,34,false,false,false,5,14,137,137,310,45.5,Marathi,Primary,Government,Akrani Center,0,0,0,0,0,0
27026106240,ZP School PimpalGaon 37,NDB01,Nandurbar,Akrani,86,21.3033,74.4987,60,false,true,true,6,39,43,43,97,45.5,Marathi,Primary,Government,Akrani Center,0,0,1,0,0,0
27022983406,ZP School DhanWadi 38,NDB01,Nandurbar,Navapur,336,21.2693,74.5644,58,true,false,false,6,22,168,168,359,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27023930251,ZP School BhorNagar 39,NDB01,Nandurbar,Akrani,193,21.7598,73.8508,43,false,true,false,7,27,96,96,205,45.5,Marathi,Primary,Government,Akrani Center,0,0,0,0,0,0
27029984917,ZP School KoliPura 40,NDB01,Nandurbar,Navapur,201,21.4886,74.3248,35,false,true,false,6,1,100,100,165,45.5,Marathi,Primary,Government,Navapur Center,0,0,0,0,0,0
27027019417,ZP School MaliKhed 41,NDB01,Nandurbar,Nandurbar Urban,201,21.6545,74.3876,54,true,false,false,3,24,100,100,230,45.5,Marathi,Primary,Government,Nandurbar Urban Center,0,0,0,0,1,0
27027788386,ZP School AmbaKhed 42,NDB01,Nandurbar,Nandurbar Urban,169,21.0739,74.1864,22,true,false,false,4,37,84,84,135,45.5,Marathi,Primary,Government,Nandurbar Urban Center,0,0,0,0,0,0
27023872139,ZP School AmbaNagar 43,NDB01,Nandurbar,Akrani,371,21.0767,74.6767,43,true,false,true,6,15,185,185,398,45.5,Marathi,Primary,Government,Akrani Center,0,0,0,0,0,0
27027818442,ZP School PimpalNagar 44,NDB01,Nandurbar,Akkalkuwa,315,21.4497,74.4395,38,true,false,true,6,33,157,157,288,45.5,Marathi,Primary,Government,Akkalkuwa Center,1,0,0,0,0,0
